Incident Date,State,City/County,Address,# killed,# injured
"July 24, 2017",Louisiana,New Orleans,Camp St and Leontine St,0,1
"July 21, 2017",Illinois,Chicago,43rd and S Ashland,0,1
"July 19, 2017",Michigan,Saginaw,W Michigan and Leo St,1,1
"July 18, 2017",California,Fresno,N/A,0,0
"July 16, 2017",Georgia,Cumming,Hickory Hills Rd,1,1
"July 14, 2017",New York,Bronx,Westchester Ave and Simpson St,0,1
"July 12, 2017",North Carolina,Yancey (county),N/A,0,0
"July 12, 2017",New Mexico,Albuquerque,3900 Block of General Bradley St,0,1
"July 9, 2017",New York,Theresa,34371 Route 46,2,1
"July 9, 2017",Ohio,Uniontown,11599 Lela Ave NW,1,1
"July 7, 2017",New York,Bronx,Simpson St and Westchester Ave,0,1
"July 6, 2017",Utah,Salt Lake City (Millcreek),3218 1100 E,0,0
"July 5, 2017",New York,Bronx,183rd Street and Morris Avenue,2,1
"June 29, 2017",Texas,San Antonio,Evergreen and Howard,2,1
"June 29, 2017",California,Crescent City,Lafayette Way,0,2
"June 29, 2017",California,El Segundo,Aviation Blvd and E El Segundo Blvd,0,2
"June 28, 2017",Tennessee,Nashville,719 Thompson Ln,1,1
"June 27, 2017",California,Sacramento,Watt Ave and I-80,0,1
"June 24, 2017",Kentucky,Stearns,KY 92 and Jones Hollow Road,0,1
"June 24, 2017",New York,Rochester,North St and St Jacob St,0,1
"June 22, 2017",California,Palmdale,38500 block of 10th St,1,1
"June 21, 2017",Missouri,Saint Louis,Park Ln and Astra Ave,0,2
"June 21, 2017",Kentucky,Louisville,3200 block of Kemmons Drive,0,1
"June 19, 2017",Tennessee,Manchester,300 Hillsboro Blvd,1,2
"June 16, 2017",New Mexico,Albuquerque,2820 Coors Blvd NW,0,1
"June 16, 2017",Mississippi,Water Valley,CR 100,1,2
"June 15, 2017",Georgia,Gainesville,4300 block of Campbell Rd,0,3
"June 15, 2017",Georgia,Augusta,2400 block of Lennox Rd,1,0
"June 14, 2017",Florida,Sebastian,10455 102nd Terrace,0,1
"June 14, 2017",Virginia,Alexandria,420 E Monroe Ave,1,5
"June 13, 2017",Illinois,Jerseyville,117 W Prairie St,1,1
"June 13, 2017",Virginia,Virginia Beach,1600 block of Ohio Ave,0,1
"June 13, 2017",Nevada,Pahrump,2190 E Mesquite Ave,1,0
"June 13, 2017",Georgia,Eatonton,Sparta Hwy,2,0
"June 12, 2017",Arkansas,Newport,3 Bowen St,1,0
"June 12, 2017",Virginia,Hampton,1 Town Center Way,0,2
"June 12, 2017",Maine,Vassalboro,15 Oak Grove Rd,0,1
"June 12, 2017",Kentucky,Trosper,8756 Ky 225,1,2
"June 8, 2017",Alabama,Prattville,137 Patrick Street,1,1
"June 7, 2017",Maryland,Dundalk,Belclare Avenue and Dundalk Avenue,1,2
"June 7, 2017",North Carolina,Ellenboro,US-74 BUS,0,1
"June 3, 2017",Illinois,Chicago,8100 block of S Maryland Ave,0,2
"June 2, 2017",Texas,Laredo,5301 McPherson Rd,2,3
"June 1, 2017",South Carolina,Allendale,N/A,1,0
"June 1, 2017",Wisconsin,Milwaukee,35th St & Toronto St,0,1
"May 27, 2017",South Carolina,Cayce,Knox Abbott Dr,0,3
"May 27, 2017",Mississippi,Bogue Chitto,2871 Lee Dr,8,1
"May 27, 2017",Georgia,Atlanta (College Park),5040 Old National Hwy,0,2
"May 26, 2017",Virginia,Richmond,1900 block of Redd St,1,0
"May 25, 2017",California,Coachella,Calle Mendoza and Las Flores Ave,0,1
"May 24, 2017",California,Compton,900 block of N Santa Fe Ave,1,2
"May 23, 2017",Georgia,Marietta,220 N Cobb Parkway NE,0,2
"May 22, 2017",Missouri,Saint Louis,2200 Lucas and Hunt Rd,1,1
"May 20, 2017",Colorado,Denver,2800 S Quitman St,0,2
"May 17, 2017",Maryland,Gwynn Oak,N/A,0,1
"May 16, 2017",Montana,Three Forks,US 287,2,0
"May 16, 2017",New York,Maybrook,812 Abbey Ave,1,1
"May 15, 2017",Illinois,Chicago,3600 block of South Wolcott,0,2
"May 12, 2017",Illinois,Chicago,4600 block of West Maypole,0,2
"May 12, 2017",Florida,Jupiter,Military Trl and Marquette,1,0
